tag, type, x, y, z, ad1, time, real_time, acc
1,Linearaccel,-1.2130156,-1.3758705,-0.013591886,0,11179,1475565886948,3
1,Linearaccel,-1.0317125,-1.574018,0.14690566,0,11229,1475565886998,3
1,Linearaccel,-0.7032366,-1.7139208,0.47905147,0,11279,1475565887048,3
1,Linearaccel,-0.80710316,-1.9788901,0.45010245,0,11330,1475565887099,3
1,Linearaccel,-0.12204361,-2.1481571,0.5380974,0,11380,1475565887149,3
1,Linearaccel,0.23383522,-1.816154,0.667927,0,11430,1475565887199,3
1,Linearaccel,0.19476604,-1.4067845,0.7242881,0,11481,1475565887250,3
1,Linearaccel,2.028387,-1.3789427,0.8446442,0,11531,1475565887300,3
1,Linearaccel,2.1571388,-0.31043243,0.8648195,0,11581,1475565887350,3
1,Linearaccel,-0.7454386,0.9359846,0.6019914,0,11632,1475565887401,3
1,Linearaccel,0.9821863,1.3563673,0.46564043,0,11682,1475565887451,3
1,Linearaccel,1.6921473,2.452629,0.02873981,0,11732,1475565887501,3
1,Linearaccel,0.52855015,2.9808106,-0.09723008,0,11783,1475565887552,3
1,Linearaccel,-0.03755951,2.4825363,-0.16585732,0,11833,1475565887602,3
1,Linearaccel,0.62162113,2.938497,-0.40160084,0,11884,1475565887653,3
1,Linearaccel,0.16335249,2.5855742,-0.24609935,0,11934,1475565887703,3
1,Linearaccel,0.47041273,2.1972322,-0.14246154,0,11984,1475565887753,3
1,Linearaccel,0.14845753,1.7511425,-0.263739,0,12035,1475565887804,3
1,Linearaccel,0.53144073,1.0811181,-0.08266038,0,12085,1475565887854,3
1,Linearaccel,0.3728218,0.5224323,-0.32881254,0,12135,1475565887904,3
1,Linearaccel,0.47946644,-0.09907675,-0.45670313,0,12186,1475565887955,3
1,Linearaccel,-0.5204239,-0.40921545,-0.61698705,0,12236,1475565888005,3
1,Linearaccel,0.9107218,-0.9492593,-0.7205396,0,12286,1475565888055,3
1,Linearaccel,0.80380726,-1.1671209,-0.106603205,0,12337,1475565888106,3
1,Linearaccel,0.45866966,-1.942039,0.19841152,0,12387,1475565888156,3
1,Linearaccel,-0.56157017,-2.0534556,0.068098605,0,12437,1475565888206,3
1,Linearaccel,-1.5889797,-2.8563285,0.8737842,0,12488,1475565888257,3
1,Linearaccel,-0.5902691,-3.250702,0.8111224,0,12538,1475565888307,3
1,Linearaccel,-1.2417622,-2.377945,0.87709343,0,12588,1475565888357,3
1,Linearaccel,-0.9890137,-2.37749,0.66262794,0,12639,1475565888408,3
1,Linearaccel,-0.49892902,-2.0973165,0.3817848,0,12689,1475565888458,3
1,Linearaccel,-0.9682598,-1.6697104,0.091896534,0,12740,1475565888509,3
1,Linearaccel,-1.0347567,-1.39922,-0.265329,0,12790,1475565888559,3
1,Linearaccel,-0.49935818,-1.3570161,-0.15567744,0,12840,1475565888609,3
1,Linearaccel,0.002456665,-1.0506425,-0.16906905,0,12891,1475565888660,3
1,Linearaccel,-0.007963181,-0.711884,-0.2594347,0,12941,1475565888710,3
1,Linearaccel,1.7763929,-1.0455551,-0.50861776,0,12991,1475565888760,3
1,Linearaccel,1.8755436,-0.56454754,-0.5349579,0,13042,1475565888811,3
1,Linearaccel,-0.18549728,0.68539476,-0.9488255,0,13092,1475565888861,3
1,Linearaccel,0.8720646,0.93963575,-1.0987214,0,13142,1475565888911,3
1,Linearaccel,1.9714689,1.5193634,-1.2744294,0,13193,1475565888962,3
1,Linearaccel,0.52078533,2.7071524,-1.1467688,0,13243,1475565889012,3
1,Linearaccel,-0.15010309,2.6373959,-1.0835208,0,13293,1475565889062,3
1,Linearaccel,-0.09329939,2.6478229,-1.3207256,0,13344,1475565889113,3
1,Linearaccel,0.17686987,2.8919468,-1.1194627,0,13394,1475565889163,3
1,Linearaccel,0.31260586,2.759902,-0.8997638,0,13445,1475565889214,3
1,Linearaccel,0.5680866,1.7938709,-0.7723774,0,13495,1475565889264,3
1,Linearaccel,1.3281798,0.9052472,-0.68007636,0,13545,1475565889314,3
1,Linearaccel,1.3223925,4.348755E-4,-0.5196372,0,13596,1475565889365,3
1,Linearaccel,3.1394453,-1.022408,-0.51088953,0,13646,1475565889415,3
1,Linearaccel,1.563817,-1.1075783,-0.48903298,0,13696,1475565889465,3
